Aseguradora,Plan,Continuidad,Edad_Min,Edad_Max,Asegurados_Min,Forma_Pago,Score_Rimac,Cliente_Rimac,Salud,Mes,Porcentaje_Descuento
La Positiva Seguros,Medisalud Senior +,TODOS,TODOS,TODOS,1,Mensual,TODOS,TODOS,Crónico,TODOS,0
La Positiva Seguros,Medisalud Senior +,TODOS,TODOS,TODOS,1,Contado,TODOS,TODOS,Crónico,TODOS,5
La Positiva Seguros,Medisalud Senior +,TODOS,TODOS,TODOS,2,Mensual,TODOS,TODOS,Crónico,TODOS,8
La Positiva Seguros,Medisalud Senior +,TODOS,TODOS,TODOS,2,Contado,TODOS,TODOS,Crónico,TODOS,12
Mapfre Seguros,Trébol Salud,Nuevo,1,40,1,TODOS,TODOS,TODOS,TODOS,Julio,35
Mapfre Seguros,Trébol Salud,Nuevo,41,55,1,TODOS,TODOS,TODOS,TODOS,Julio,30
Mapfre Seguros,Viva Salud,Nuevo,1,55,1,TODOS,TODOS,TODOS,TODOS,Julio,30
Pacífico Seguros,Esencial,Nuevo,TODOS,TODOS,1,TODOS,TODOS,TODOS,TODOS,Julio,25
Pacífico Seguros,Esencial,Continuidad,TODOS,TODOS,1,TODOS,TODOS,TODOS,TODOS,Julio,15
Pacífico Seguros,Esencial Plus,Nuevo,TODOS,TODOS,1,TODOS,TODOS,TODOS,TODOS,Julio,25
Pacífico Seguros,Esencial Plus,Continuidad,TODOS,TODOS,1,TODOS,TODOS,TODOS,TODOS,Julio,15
Pacífico Seguros,Red Preferente,Nuevo,TODOS,TODOS,1,TODOS,TODOS,TODOS,TODOS,Julio,25
Pacífico Seguros,Red Preferente,Continuidad,TODOS,TODOS,1,TODOS,TODOS,TODOS,TODOS,Julio,15
Pacífico Seguros,Multisalud Base,Nuevo,TODOS,TODOS,1,TODOS,TODOS,TODOS,TODOS,Julio,30
Pacífico Seguros,Multisalud Base,Continuidad,TODOS,TODOS,1,TODOS,TODOS,TODOS,TODOS,Julio,15
Pacífico Seguros,Multisalud,Nuevo,0,19,1,TODOS,TODOS,TODOS,TODOS,Julio,40
Pacífico Seguros,Multisalud,Nuevo,20,40,1,TODOS,TODOS,TODOS,TODOS,Julio,45
Pacífico Seguros,Multisalud,Nuevo,41,65,1,TODOS,TODOS,TODOS,TODOS,Julio,40
Pacífico Seguros,Multisalud,Continuidad,0,19,1,TODOS,TODOS,TODOS,TODOS,Julio,15
Pacífico Seguros,Multisalud,Continuidad,20,40,1,TODOS,TODOS,TODOS,TODOS,Julio,35
Pacífico Seguros,Multisalud,Continuidad,41,65,1,TODOS,TODOS,TODOS,TODOS,Julio,15
Pacífico Seguros,Medicvida Nacional,Nuevo,0,19,1,TODOS,TODOS,TODOS,TODOS,Julio,33
Pacífico Seguros,Medicvida Nacional,Nuevo,20,40,1,TODOS,TODOS,TODOS,TODOS,Julio,40
Pacífico Seguros,Medicvida Nacional,Nuevo,41,65,1,TODOS,TODOS,TODOS,TODOS,Julio,33
Pacífico Seguros,Medicvida Nacional,Continuidad,0,19,1,TODOS,TODOS,TODOS,TODOS,Julio,15
Pacífico Seguros,Medicvida Nacional,Continuidad,20,40,1,TODOS,TODOS,TODOS,TODOS,Julio,30
Pacífico Seguros,Medicvida Nacional,Continuidad,41,65,1,TODOS,TODOS,TODOS,TODOS,Julio,15
Pacífico Seguros,Medicvida Internacional,Nuevo,0,19,1,TODOS,TODOS,TODOS,TODOS,Julio,35
Pacífico Seguros,Medicvida Internacional,Nuevo,20,40,1,TODOS,TODOS,TODOS,TODOS,Julio,38
Pacífico Seguros,Medicvida Internacional,Nuevo,41,65,1,TODOS,TODOS,TODOS,TODOS,Julio,35
Pacífico Seguros,Medicvida Internacional,Continuidad,0,19,1,TODOS,TODOS,TODOS,TODOS,Julio,15
Pacífico Seguros,Medicvida Internacional,Continuidad,20,40,1,TODOS,TODOS,TODOS,TODOS,Julio,30
Pacífico Seguros,Medicvida Internacional,Continuidad,41,65,1,TODOS,TODOS,TODOS,TODOS,Julio,15
Rímac Seguros,Red Preferente,Nuevo,0,65,1,Mensual,Bueno,No,TODOS,Julio,26
Rímac Seguros,Red Preferente,Nuevo,0,65,2,Mensual,Bueno,No,TODOS,Julio,27
Rímac Seguros,Red Preferente,Nuevo,0,65,1,Contado,Bueno,No,TODOS,Julio,28
Rímac Seguros,Red Preferente,Nuevo,0,65,1,Mensual,Bueno,Si,TODOS,Julio,28
Rímac Seguros,Red Preferente,Nuevo,0,65,2,Mensual,Bueno,Si,TODOS,Julio,28
Rímac Seguros,Red Preferente,Nuevo,0,65,2,Contado,Bueno,Si,TODOS,Julio,30
Rímac Seguros,Red Preferente,Continuidad,0,65,1,TODOS,Bueno,TODOS,TODOS,Julio,10
Rímac Seguros,Red Preferente,Nuevo,0,65,1,Mensual,Ambar,No,TODOS,Julio,23
Rímac Seguros,Red Preferente,Nuevo,0,65,2,Mensual,Ambar,No,TODOS,Julio,24
Rímac Seguros,Red Preferente,Nuevo,0,65,2,Contado,Ambar,No,TODOS,Julio,25
Rímac Seguros,Red Preferente,Nuevo,0,65,1,Mensual,Ambar,Si,TODOS,Julio,25
Rímac Seguros,Red Preferente,Nuevo,0,65,2,Mensual,Ambar,Si,TODOS,Julio,26
Rímac Seguros,Red Preferente,Nuevo,0,65,2,Contado,Ambar,Si,TODOS,Julio,27
Rímac Seguros,Red Preferente,Continuidad,0,65,1,TODOS,Ambar,TODOS,TODOS,Julio,5
Rímac Seguros,Red Preferente,Nuevo,0,65,1,Mensual,Rojo,No,TODOS,Julio,0
Rímac Seguros,Red Preferente,Nuevo,0,65,2,Mensual,Rojo,No,TODOS,Julio,0
Rímac Seguros,Red Preferente,Nuevo,0,65,1,Contado,Rojo,No,TODOS,Julio,5
Rímac Seguros,Red Preferente,Nuevo,0,65,1,Mensual,Rojo,Si,TODOS,Julio,0
Rímac Seguros,Red Preferente,Nuevo,0,65,2,Mensual,Rojo,Si,TODOS,Julio,0
Rímac Seguros,Red Preferente,Nuevo,0,65,2,Contado,Rojo,Si,TODOS,Julio,5
Rímac Seguros,Red Preferente,Continuidad,0,65,1,TODOS,Rojo,TODOS,TODOS,Julio,0
Rímac Seguros,Red Preferente,Nuevo,0,65,1,Mensual,Gris,No,TODOS,Julio,18
Rímac Seguros,Red Preferente,Nuevo,0,65,2,Mensual,Gris,No,TODOS,Julio,20
Rímac Seguros,Red Preferente,Nuevo,0,65,2,Contado,Gris,No,TODOS,Julio,21
Rímac Seguros,Red Preferente,Nuevo,0,65,1,Mensual,Gris,Si,TODOS,Julio,20
Rímac Seguros,Red Preferente,Nuevo,0,65,2,Mensual,Gris,Si,TODOS,Julio,21
Rímac Seguros,Red Preferente,Nuevo,0,65,2,Contado,Gris,Si,TODOS,Julio,22
Rímac Seguros,Red Preferente,Continuidad,0,65,1,TODOS,Gris,TODOS,TODOS,Julio,10
Rímac Seguros,Red Médica,Nuevo,0,65,1,Mensual,Bueno,No,TODOS,Julio,31
Rímac Seguros,Red Médica,Nuevo,0,65,2,Mensual,Bueno,No,TODOS,Julio,32
Rímac Seguros,Red Médica,Nuevo,0,65,1,Contado,Bueno,No,TODOS,Julio,33
Rímac Seguros,Red Médica,Nuevo,0,65,1,Mensual,Bueno,Si,TODOS,Julio,33
Rímac Seguros,Red Médica,Nuevo,0,65,2,Mensual,Bueno,Si,TODOS,Julio,35
Rímac Seguros,Red Médica,Nuevo,0,65,2,Contado,Bueno,Si,TODOS,Julio,36
Rímac Seguros,Red Médica,Continuidad,0,65,1,TODOS,Bueno,TODOS,TODOS,Julio,10
Rímac Seguros,Red Médica,Nuevo,0,65,1,Mensual,Ambar,No,TODOS,Julio,27
Rímac Seguros,Red Médica,Nuevo,0,65,2,Mensual,Ambar,No,TODOS,Julio,28
Rímac Seguros,Red Médica,Nuevo,0,65,2,Contado,Ambar,No,TODOS,Julio,30
Rímac Seguros,Red Médica,Nuevo,0,65,1,Mensual,Ambar,Si,TODOS,Julio,29
Rímac Seguros,Red Médica,Nuevo,0,65,2,Mensual,Ambar,Si,TODOS,Julio,30
Rímac Seguros,Red Médica,Nuevo,0,65,2,Contado,Ambar,Si,TODOS,Julio,32
Rímac Seguros,Red Médica,Continuidad,0,65,1,TODOS,Ambar,TODOS,TODOS,Julio,5
Rímac Seguros,Red Médica,Nuevo,0,65,1,Mensual,Rojo,No,TODOS,Julio,0
Rímac Seguros,Red Médica,Nuevo,0,65,2,Mensual,Rojo,No,TODOS,Julio,0
Rímac Seguros,Red Médica,Nuevo,0,65,1,Contado,Rojo,No,TODOS,Julio,5
Rímac Seguros,Red Médica,Nuevo,0,65,1,Mensual,Rojo,Si,TODOS,Julio,0
Rímac Seguros,Red Médica,Nuevo,0,65,2,Mensual,Rojo,Si,TODOS,Julio,0
Rímac Seguros,Red Médica,Nuevo,0,65,2,Contado,Rojo,Si,TODOS,Julio,5
Rímac Seguros,Red Médica,Continuidad,0,65,1,TODOS,Rojo,TODOS,TODOS,Julio,0
Rímac Seguros,Red Médica,Nuevo,0,65,1,Mensual,Gris,No,TODOS,Julio,22
Rímac Seguros,Red Médica,Nuevo,0,65,2,Mensual,Gris,No,TODOS,Julio,24
Rímac Seguros,Red Médica,Nuevo,0,65,2,Contado,Gris,No,TODOS,Julio,26
Rímac Seguros,Red Médica,Nuevo,0,65,1,Mensual,Gris,Si,TODOS,Julio,25
Rímac Seguros,Red Médica,Nuevo,0,65,2,Mensual,Gris,Si,TODOS,Julio,28
Rímac Seguros,Red Médica,Nuevo,0,65,2,Contado,Gris,Si,TODOS,Julio,30
Rímac Seguros,Red Médica,Continuidad,0,65,1,TODOS,Gris,TODOS,TODOS,Julio,10
Rímac Seguros,Full Salud,Nuevo,0,65,1,Mensual,Bueno,No,TODOS,Julio,26
Rímac Seguros,Full Salud,Nuevo,0,65,2,Mensual,Bueno,No,TODOS,Julio,28
Rímac Seguros,Full Salud,Nuevo,0,65,1,Contado,Bueno,No,TODOS,Julio,30
Rímac Seguros,Full Salud,Nuevo,0,65,1,Mensual,Bueno,Si,TODOS,Julio,28
Rímac Seguros,Full Salud,Nuevo,0,65,2,Mensual,Bueno,Si,TODOS,Julio,30
Rímac Seguros,Full Salud,Nuevo,0,65,2,Contado,Bueno,Si,TODOS,Julio,33
Rímac Seguros,Full Salud,Continuidad,0,65,1,TODOS,Bueno,TODOS,TODOS,Julio,10
Rímac Seguros,Full Salud,Nuevo,0,65,1,Mensual,Ambar,No,TODOS,Julio,24
Rímac Seguros,Full Salud,Nuevo,0,65,2,Mensual,Ambar,No,TODOS,Julio,26
Rímac Seguros,Full Salud,Nuevo,0,65,2,Contado,Ambar,No,TODOS,Julio,28
Rímac Seguros,Full Salud,Nuevo,0,65,1,Mensual,Ambar,Si,TODOS,Julio,27
Rímac Seguros,Full Salud,Nuevo,0,65,2,Mensual,Ambar,Si,TODOS,Julio,29
